company_name,sector,company_size,initial_capital,establishment_date,active,death_date,x,y
天津市河西区海河汽车配件厂,Parts,XS(微型),7730.92,1995-02-16,False,,5.0952,-6.3219
天津市北辰区红福汽车制动器厂,Parts,XS(微型),10119.52,1998-03-16,False,,-13.4636,5.0508
天津市和平区车益友车务服务中心,Parts,XS(微型),17594.6,2017-10-10,False,2019-10-14,1.0701,-0.6654
丰田汽车技术中心（中国）有限公司,Parts,M(中型),149364.64,1998-02-17,True,,-4.4148,-4.6216
天津亚星世纪实业股份有限公司,Parts,S(小型),38714.65,2000-01-26,True,,11.331,-14.0903
天津津丰汽车底盘部件有限公司,Parts,XS(微型),14251.39,1997-07-29,True,,12.8918,-6.1463
松美可（天津）汽车配件有限公司,Parts,S(小型),28903.67,2003-04-15,True,,5.9033,-13.7476
天津星原工业科技有限公司,Electronics,S(小型),22637.93,2014-01-21,True,,-0.7726,18.6706
皑尔电动汽车动力总成（天津）有限公司,Battery/Motor,S(小型),31882.88,2022-02-14,True,,-9.0608,-5.8671
梦达驰汽车系统（天津）有限公司,Electronics,S(小型),25925.0,2012-08-28,True,,-7.0216,-6.6008
天津泓德汽车玻璃有限公司,Parts,L(大型),952438.37,2015-05-08,True,,-10.7488,-5.4183
天津惠德汽车进气系统股份有限公司,Parts,XS(微型),15328.76,2006-04-06,True,,-9.2366,-2.6616
富维本特勒汽车零部件（天津）有限公司,Parts,S(小型),55431.96,2018-04-26,True,,-0.9763,18.7754
天津锐意泰克汽车电子有限公司,Electronics,XS(微型),16735.61,2009-03-16,True,,-11.0669,-2.2179
华博罗（天津）工业有限公司,Parts,S(小型),72907.58,1995-04-17,True,,-4.6189,15.2802
天津市汽车底盘部件总厂,Parts,XS(微型),6475.84,1994-10-22,True,,12.9275,-6.1817
天津三樱飞跃汽车部件有限公司,Parts,S(小型),84120.52,2011-08-08,True,,9.4456,-15.6369
天津科世得润汽车部件有限公司,Parts,M(中型),238223.2,2020-04-15,True,,-11.516,-2.9211
天津丰田汽车锻造部件有限公司,Parts,S(小型),73351.07,1997-02-27,True,,15.7623,-7.102
天津电装电机有限公司,Battery/Motor,L(大型),930508.54,1995-12-25,True,,17.3561,-7.4123
